URI	ID	Name	Environment	Runner	Instance type	Architecture	CPU	CPU cores	RAM	Kernel	OS	Dedicated instance	Disabled deeper C-states	Disabled turbo boost	Disabled hyper-threading	Time
2021_11_11_09_20_1_aws_arm64_c6g_4xlarge	aws_arm64_c6g_4xlarge	AWS ARM64 (c6g.4xlarge)	aws	host	c6g.4xlarge	aarch64		16	30 GB	4.14.252-195.483.amzn2.aarch64	Amazon Linux 2	0	0	0	0	2021-11-11 09:20:00

URI	ID	Name	Environment	Runner	Instance type	Architecture	CPU	CPU cores	RAM	Kernel	OS	Dedicated instance	Disabled deeper C-states	Disabled turbo boost	Disabled hyper-threading	Time
2021_11_25_10_08_1_aws_arm64_c6g_4xlarge	aws_arm64_c6g_4xlarge	AWS ARM64 (c6g.4xlarge)	aws	host	c6g.4xlarge	aarch64		16	30 GB	4.14.252-195.483.amzn2.aarch64	Amazon Linux 2	0	0	0	0	2021-11-25 10:08:00
Test name	Test warmup	Test iterations	Test requests	PHP	PHP Commit hash	PHP Commit URL	Min	Max	Std dev	Average	Average diff %	Median	Median diff %	Memory usage
Laravel demo app	50	25	250	PHP 8.4 (JIT)	ad9ec2607ae9c31c307ed55cbe9c0d9f3be97905	https://github.com/php/php-src/commit/ad9ec2607ae9c31c307ed55cbe9c0d9f3be97905	0.79329	0.80888	0.00312	0.79709	3.41	0.79637	3.32	47.89
Symfony demo app	50	25	250	PHP 8.1	8f6610ce8871c1065682db84264fd3450a5db342	https://github.com/php/php-src/commit/8f6610ce8871c1065682db84264fd3450a5db342	0.34625	0.35229	0.00115	0.34752	0.00	0.34744	0.00	32.73
Symfony demo app	50	25	250	PHP 8.2	5e2a586c9ae7e6be77b130de443c0a18a2ff4a00	https://github.com/php/php-src/commit/5e2a586c9ae7e6be77b130de443c0a18a2ff4a00	0.34155	0.44763	0.02063	0.34656	-0.28	0.34238	-1.46	32.98
Symfony demo app	50	25	250	PHP 8.3	719c74e91976415b8a9b9e49ba12211153a32f9e	https://github.com/php/php-src/commit/719c74e91976415b8a9b9e49ba12211153a32f9e	0.34498	0.34669	0.00045	0.34575	-0.51	0.34560	-0.53	33.12
Symfony demo app	50	25	250	PHP 8.4	ad9ec2607ae9c31c307ed55cbe9c0d9f3be97905	https://github.com/php/php-src/commit/ad9ec2607ae9c31c307ed55cbe9c0d9f3be97905	0.35105	0.35426	0.00080	0.35259	1.46	0.35251	1.46	33.17
Symfony demo app	50	25	250	PHP 8.4 (JIT)	ad9ec2607ae9c31c307ed55cbe9c0d9f3be97905	https://github.com/php/php-src/commit/ad9ec2607ae9c31c307ed55cbe9c0d9f3be97905	0.36500	0.36816	0.00076	0.36625	5.39	0.36613	5.38	39.39
bench.php	5	15	0	PHP 8.1	8f6610ce8871c1065682db84264fd3450a5db342	https://github.com/php/php-src/commit/8f6610ce8871c1065682db84264fd3450a5db342	0.18679	0.18779	0.00028	0.18724	0.00	0.18728	0.00	25.18
bench.php	5	15	0	PHP 8.2	5e2a586c9ae7e6be77b130de443c0a18a2ff4a00	https://github.com/php/php-src/commit/5e2a586c9ae7e6be77b130de443c0a18a2ff4a00	0.18342	0.18398	0.00018	0.18369	-1.90	0.18373	-1.90	25.01
bench.php	5	15	0	PHP 8.3	719c74e91976415b8a9b9e49ba12211153a32f9e	https://github.com/php/php-src/commit/719c74e91976415b8a9b9e49ba12211153a32f9e	0.18795	0.18874	0.00020	0.18839	0.61	0.18844	0.62	24.96
bench.php	5	15	0	PHP 8.4	ad9ec2607ae9c31c307ed55cbe9c0d9f3be97905	https://github.com/php/php-src/commit/ad9ec2607ae9c31c307ed55cbe9c0d9f3be97905	0.18557	0.18624	0.00019	0.18594	-0.69	0.18592	-0.73	25.32
bench.php	5	15	0	PHP 8.4 (JIT)	ad9ec2607ae9c31c307ed55cbe9c0d9f3be97905	https://github.com/php/php-src/commit/ad9ec2607ae9c31c307ed55cbe9c0d9f3be97905	0.06413	0.06653	0.00060	0.06469	-65.45	0.06448	-65.57	26.24
micro_bench.php	5	15	0	PHP 8.1	8f6610ce8871c1065682db84264fd3450a5db342	https://github.com/php/php-src/commit/8f6610ce8871c1065682db84264fd3450a5db342	1.14874	1.15244	0.00097	1.15083	0.00	1.15077	0.00	19.19
micro_bench.php	5	15	0	PHP 8.2	5e2a586c9ae7e6be77b130de443c0a18a2ff4a00	https://github.com/php/php-src/commit/5e2a586c9ae7e6be77b130de443c0a18a2ff4a00	1.15436	1.15947	0.00116	1.15639	0.48	1.15633	0.48	19.18
micro_bench.php	5	15	0	PHP 8.3	719c74e91976415b8a9b9e49ba12211153a32f9e	https://github.com/php/php-src/commit/719c74e91976415b8a9b9e49ba12211153a32f9e	1.18950	1.19473	0.00143	1.19241	3.61	1.19252	3.63	19.23
micro_bench.php	5	15	0	PHP 8.4	ad9ec2607ae9c31c307ed55cbe9c0d9f3be97905	https://github.com/php/php-src/commit/ad9ec2607ae9c31c307ed55cbe9c0d9f3be97905	1.14662	1.14964	0.00069	1.14812	-0.24	1.14822	-0.22	19.71
micro_bench.php	5	15	0	PHP 8.4 (JIT)	ad9ec2607ae9c31c307ed55cbe9c0d9f3be97905	https://github.com/php/php-src/commit/ad9ec2607ae9c31c307ed55cbe9c0d9f3be97905	0.57973	0.58867	0.00308	0.58458	-49.20	0.58436	-49.22	20.65

